time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,team,frameId,gameId,playId,playDirection,yardLine,playDescription,quarter,down,yardsToGo,possessionTeam,specialTeamsPlayType,specialTeamsResult,kickerId,returnerId,kickBlockerId,yardlineSide,yardlineNumber,gameClock,penaltyCodes,penaltyJerseyNumbers,penaltyYards,preSnapHomeScore,preSnapVisitorScore,passResult,kickLength,kickReturnYardage,playResult,absoluteYardlineNumber,ep,epa,wp,wpa,half_seconds_remaining,kick_distance,punt_downed,punt_fair_catch,punt_returner_player_name,wind,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,forced_fumble_player_1_player_name
2018-12-30T18:48:22Z,83.36,30.23,2.18,3.07,0.23,NA,NA,punt_received,NA,football,NA,NA,football,94,2018123001,1223,right,26.64,"(10:53) M.Haack punts 36 yards to BUF 26, Center-J.Denney. I.McKenzie to BUF 26 for no gain (M.Smith, S.Perry).",2,4,18,MIA,Punt,Return,45296,44985,NA,MIA,38,10:53:00,NA,NA,NA,14,0,NA,36,0,36,48,-0.9669535192660987,-0.31807368341833353,0.10952313244342804,0.001579567790031433,653,36,0,0,I.McKenzie,9,0,0,0,NA
2018-12-30T18:54:49Z,53.98,10.05,6.74,0.47,0.42,NA,NA,punt_received,NA,football,NA,NA,football,66,2018123001,1326,left,43.98,"(9:13) M.Darr punts 35 yards to MIA 44, Center-R.Ferguson. D.Amendola to BUF 48 for 8 yards (S.Neal).",2,4,15,BUF,Punt,Return,42747,33566,NA,BUF,21,09:13:00,NA,NA,NA,14,0,NA,35,8,27,89,-1.7080106884241104,-0.920961644500494,0.8447737097740173,-0.006661280989646912,553,35,0,0,D.Amendola,9,0,0,0,NA
2018-12-30T19:00:21Z,97.91,5.77,3.04,0.53,0.3,NA,NA,fair_catch,NA,football,NA,NA,football,79,2018123001,1445,right,12.090000000000003,"(6:31) M.Haack punts 32 yards to BUF 11, Center-J.Denney, fair catch by M.Hyde.",2,4,17,MIA,Punt,Fair Catch,45296,40107,NA,BUF,43,06:31:00,NA,NA,NA,14,0,NA,32,NA,32,67,-0.06623938982374966,-0.004675298230722547,0.11508605629205704,-0.00522235780954361,391,32,0,1,M.Hyde,9,1,0,0,NA
2018-12-30T19:05:11Z,57.34,31.74,6.8,3.57,0.61,NA,NA,punt_received,NA,football,NA,NA,football,65,2018123001,1538,left,47.34,"(4:33) M.Darr punts 32 yards to MIA 48, Center-R.Ferguson. D.Amendola to MIA 49 for 1 yard (S.Neal).",2,4,1,BUF,Punt,Return,42747,33566,NA,BUF,20,04:33:00,NA,NA,NA,14,0,NA,32,1,31,90,-0.9951814995147288,-1.4272774829296395,0.8787323832511902,-0.04395352303981781,273,32,0,0,D.Amendola,9,0,0,0,NA
2018-12-30T19:44:50Z,96.08,23.03,3.08,5.76,0.52,NA,NA,punt_received,NA,football,NA,NA,football,82,2018123001,2289,right,13.920000000000002,"(13:58) M.Haack punts 54 yards to BUF 13, Center-J.Denney. I.McKenzie pushed ob at BUF 22 for 9 yards (S.Perry).",3,4,9,MIA,Punt,Return,45296,44985,NA,MIA,33,13:58:00,NA,NA,NA,14,14,NA,54,9,45,43,-1.469405537005514,0.4103599349036813,0.39416977763175964,0.045803457498550415,1738,54,0,0,I.McKenzie,9,0,0,0,NA
2018-12-30T20:28:25Z,85.01,5.55,3.06,3.65,0.45,NA,NA,fair_catch,NA,football,NA,NA,football,81,2018123001,3338,right,24.989999999999995,"(15:00) M.Darr punts 44 yards to MIA 26, Center-R.Ferguson, fair catch by D.Amendola.",4,4,5,BUF,Punt,Fair Catch,42747,33566,NA,BUF,30,15:00:00,NA,NA,NA,28,17,NA,44,NA,44,40,-0.9430482788011432,0.019644910003989935,0.8970994353294373,-0.009337246417999268,900,44,0,1,D.Amendola,9,0,0,0,NA
2018-12-30T20:31:56Z,37.58,31.87,3.67,2.91,0.3,NA,NA,punt_land,NA,football,NA,NA,football,59,2018123001,3462,left,27.58,"(12:39) M.Haack punts 28 yards to BUF 30, Center-J.Denney, downed by MIA-S.Perry.",4,4,12,MIA,Punt,Downed,45296,NA,NA,MIA,42,12:39:00,NA,NA,NA,28,17,NA,28,NA,28,68,-0.8249325277283788,-0.7089407960884273,0.0730799213051796,-0.009267665445804596,759,28,1,0,NA,9,0,0,0,NA
2018-12-30T20:52:38Z,55.96,7.21,2.8,0.56,0.28,NA,NA,punt_land,NA,football,NA,NA,football,74,2018123001,4003,left,45.96,"(6:13) M.Haack punts 25 yards to BUF 48, Center-J.Denney, downed by MIA-B.Bolden.",4,4,8,MIA,Punt,Downed,45296,NA,NA,MIA,27,06:13:00,NA,NA,NA,42,17,NA,25,NA,25,83,-1.1769291181117296,-1.3623110493645072,3.036026027984917e-4,-2.171758678741753e-4,373,25,1,0,NA,9,0,0,0,NA
2018-12-30T18:05:17Z,31.96,44.51,6.91,5.12,0.87,NA,NA,fair_catch,NA,football,NA,NA,football,82,2018123002,117,left,21.96,"(14:09) S.Martin punts 53 yards to GB 21, Center-D.Muhlbach, fair catch by T.Williams.",1,4,9,DET,Punt,Fair Catch,40113,31517,NA,DET,26,14:09:00,NA,NA,NA,0,0,NA,53,NA,53,84,-1.8966173343360424,0.8654620633460581,0.35344067215919495,0.038087815046310425,1749,53,0,1,T.Williams,15,0,0,0,NA
2018-12-30T18:07:58Z,67.44,32.28,4.4,3.91,0.58,NA,NA,punt_land,NA,football,NA,NA,football,70,2018123002,214,right,42.56,"(12:07) J.Scott punts 31 yards to DET 44, Center-H.Bradley, downed by GB-R.Gilbert.",1,4,6,GB,Punt,Downed,46241,NA,NA,GB,25,12:07:00,NA,NA,NA,0,0,NA,31,NA,31,35,-1.3233448551036417,-0.7970296514686197,0.547493577003479,-0.009920626878738403,1627,31,1,0,NA,15,0,0,0,NA
2018-12-30T18:19:42Z,65.25,33.36,5.42,3.76,0.68,NA,NA,fair_catch,NA,football,NA,NA,football,73,2018123002,467,right,44.75,"(8:12) J.Scott punts 44 yards to DET 44, Center-H.Bradley, fair catch by T.Jones.",1,4,4,GB,Punt,Fair Catch,46241,41418,NA,GB,12,08:12:00,NA,NA,NA,0,0,NA,44,NA,44,22,-1.9480480630882084,-0.15455895103514194,0.5354636907577515,0.0021092593669891357,1392,44,0,1,T.Jones,15,0,0,0,NA
2018-12-30T18:35:52Z,86.98,34.58,8.39,3.27,0.96,NA,NA,fair_catch,NA,football,NA,NA,football,80,2018123002,949,right,23.019999999999996,"(1:39) J.Scott punts 53 yards to DET 22, Center-H.Bradley, fair catch by T.Jones.",1,4,10,GB,Punt,Fair Catch,46241,41418,NA,GB,25,01:39:00,NA,NA,NA,0,7,NA,53,NA,53,35,-1.4313895464874804,0.9058308955281973,0.3162190616130829,0.021673887968063354,999,53,0,1,T.Jones,15,0,0,0,NA
2018-12-30T18:57:38Z,23.38,11.72,4.94,2.16,0.56,NA,NA,fair_catch,NA,football,NA,NA,football,75,2018123002,1499,left,13.379999999999999,"(6:42) J.Scott punts 35 yards to DET 14, Center-H.Bradley, fair catch by T.Jones.",2,4,5,GB,Punt,Fair Catch,46241,41418,NA,DET,49,06:42:00,NA,NA,NA,0,14,NA,35,NA,35,59,0.09638905944302678,-0.2855722140520811,0.15666480362415314,-0.004370644688606262,402,35,0,1,T.Jones,15,1,0,0,NA
2018-12-30T19:21:50Z,11.99,16.73,7.01,3.28,0.8,NA,NA,punt_land,NA,football,NA,NA,football,82,2018123002,2152,left,1.9900000000000002,"(:09) J.Scott punts 55 yards to end zone, Center-H.Bradley, Touchback.",2,4,6,GB,Punt,Touchback,46241,NA,NA,GB,45,00:09:00,NA,NA,NA,0,21,NA,55,NA,35,65,0.1268732617609203,-0.1268732617609203,0.05613171309232712,0.024549253284931183,9,NA,0,0,NA,15,0,0,0,NA
2018-12-30T19:40:12Z,87.24,33.4,3.39,7.24,0.54,NA,NA,punt_received,NA,football,NA,NA,football,78,2018123002,2362,right,22.760000000000005,"(11:50) J.Scott punts 49 yards to DET 21, Center-H.Bradley. T.Jones to DET 46 for 25 yards (D.Vitale).",3,4,24,GB,Punt,Return,46241,41418,NA,GB,30,11:50:00,NA,NA,NA,0,21,NA,49,25,24,40,-0.9849001029506326,-1.3299715328030288,0.045775044709444046,-0.009403694421052933,1610,49,0,0,T.Jones,15,0,0,0,NA
2018-12-30T19:46:50Z,18.36,14.88,5.48,2.53,0.64,NA,NA,fair_catch,NA,football,NA,NA,football,69,2018123002,2503,left,8.36,"(8:32) S.Martin punts 32 yards to GB 9, Center-D.Muhlbach, fair catch by J.Jackson.",3,4,8,DET,Punt,Fair Catch,40113,46114,NA,GB,41,08:32:00,NA,NA,NA,0,21,NA,32,NA,32,51,-0.10657311277464032,-0.2401366967242211,0.9624502062797546,-0.008841406553983688,1412,32,0,1,J.Jackson,15,1,0,0,NA
2018-12-30T19:52:26Z,61.6,36.34,6.37,2.6,0.73,NA,NA,punt_land,NA,football,NA,NA,football,73,2018123002,2595,right,48.4,"(7:12) J.Scott punts 50 yards to DET 32, Center-H.Bradley, downed by GB-J.Moore.",3,4,1,GB,Punt,Downed,46241,NA,NA,GB,18,07:12:00,NA,NA,NA,0,21,NA,50,NA,50,28,-1.3561547426506877,-0.006844711024314165,0.03171982616186142,-0.003558836877346039,1332,50,1,0,NA,15,0,0,0,NA
2018-12-30T20:14:31Z,76.32,20.32,8.59,7.12,0.89,NA,NA,punt_land,NA,football,NA,NA,football,67,2018123002,3146,right,33.68000000000001,"(13:33) S.Martin punts 47 yards to GB 28, Center-D.Muhlbach. J.Jackson to GB 37 for 9 yards (T.Walker). PENALTY on GB-T.Brown, Illegal Block Above the Waist, 10 yards, enforced at GB 28.",4,4,6,DET,Punt,Return,40113,46114,NA,DET,25,13:33:00,IBW,GB 28,10,0,24,NA,47,0,57,35,-1.518855522852391,0.8520423956215382,0.9991766810417175,-0.0024886850733309984,813,47,0,0,J.Jackson,15,0,0,0,NA
2018-12-30T20:14:32Z,80.86,19.49,4.96,7.77,0.51,NA,NA,punt_received,NA,football,NA,NA,football,74,2018123002,3146,right,29.14,"(13:33) S.Martin punts 47 yards to GB 28, Center-D.Muhlbach. J.Jackson to GB 37 for 9 yards (T.Walker). PENALTY on GB-T.Brown, Illegal Block Above the Waist, 10 yards, enforced at GB 28.",4,4,6,DET,Punt,Return,40113,46114,NA,DET,25,13:33:00,IBW,GB 28,10,0,24,NA,47,0,57,35,-1.518855522852391,0.8520423956215382,0.9991766810417175,-0.0024886850733309984,813,47,0,0,J.Jackson,15,0,0,0,NA
2018-12-30T18:04:39Z,32.12,21.69,5.59,9.69,0.6,NA,NA,punt_received,NA,football,NA,NA,football,75,2018123003,133,left,22.119999999999997,"(14:01) T.Daniel punts 50 yards to JAX 21, Center-J.Weeks. D.Westbrook to JAX 38 for 17 yards (J.Reid).",1,4,6,HOU,Punt,Return,46810,44923,NA,HOU,29,14:01:00,NA,NA,NA,0,0,NA,50,17,33,81,-0.8987120417878032,-0.8379276723135263,0.4710029065608978,0.006562739610671997,1741,50,0,0,D.Westbrook,NA,0,0,0,NA
2018-12-30T18:07:29Z,97.86,24.16,6.34,2.71,0.7,NA,NA,punt_muffed,NA,football,NA,NA,football,81,2018123003,228,right,12.14,"(12:16) L.Cooke punts 49 yards to HOU 12, Center-M.Overton, downed by JAX-D.Chark. Jacksonville challenged the kick downed ruling, and the play was REVERSED. L.Cooke punts 49 yards to HOU 12, Center-M.Overton. D.Carter MUFFS catch, RECOVERED by JAX-B.Brown at HOU 10.",1,4,9,JAX,Punt,Muffed,46316,42794,NA,JAX,39,12:16:00,NA,NA,NA,0,0,NA,51,NA,51,49,-0.9977615508250892,6.209282921336126,0.460035115480423,0.1642197072505951,1636,51,0,0,D.Carter,NA,1,0,0,NA
2018-12-30T18:37:52Z,60.41,7.13,2.45,2.27,0.19,NA,NA,punt_muffed,NA,football,NA,NA,football,76,2018123003,921,left,49.59,"(1:42) T.Daniel punts 36 yards to HOU 49, Center-J.Weeks. D.Westbrook MUFFS catch, RECOVERED by HOU-Z.Cunningham at HOU 49. Z.Cunningham ran ob at HOU 49 for no gain.",1,4,17,HOU,Punt,Muffed,46810,44923,NA,HOU,13,01:42:00,NA,NA,NA,3,3,NA,36,NA,36,97,-2.266328223515302,5.223246479174122,0.44154417514801025,0.13821303844451904,1002,36,0,0,D.Westbrook,NA,0,0,0,NA
2018-12-30T18:49:12Z,29.06,33.19,3.09,6.34,0.44,NA,NA,punt_received,NA,football,NA,NA,football,78,2018123003,1209,left,19.06,"(12:46) L.Cooke punts 48 yards to HOU 19, Center-M.Overton. D.Carter to HOU 30 for 11 yards (D.Chark).",2,4,2,JAX,Punt,Return,46316,42794,NA,JAX,33,12:46:00,NA,NA,NA,10,3,NA,48,11,37,77,-0.7834660680964589,-0.915259494446218,0.26471462845802307,-0.008493870496749878,766,48,0,0,D.Carter,NA,0,0,0,NA
2018-12-30T18:55:13Z,100.76,10.22,8.45,3.46,0.94,NA,NA,punt_land,NA,football,NA,NA,football,81,2018123003,1337,right,9.239999999999995,"(11:30) T.Daniel punts 60 yards to JAX 3, Center-J.Weeks, out of bounds.",2,4,3,HOU,Punt,Out of Bounds,46810,NA,NA,HOU,37,11:30:00,NA,NA,NA,10,3,NA,60,NA,60,47,-0.4711086074821651,0.6285792957060039,0.727367103099823,0.004172205924987793,690,60,0,0,NA,NA,1,0,1,NA
2018-12-30T19:04:44Z,46.44,22.41,4.61,5.7,0.63,NA,NA,punt_received,NA,football,NA,NA,football,78,2018123003,1560,left,36.44,"(7:41) L.Cooke punts 49 yards to HOU 36, Center-M.Overton. D.Carter to HOU 37 for 1 yard (C.Davis; L.McCray).",2,4,10,JAX,Punt,Return,46316,42794,NA,JAX,15,07:41:00,NA,NA,NA,10,3,NA,49,1,48,95,-1.9396763052791357,-0.257734767626971,0.23494330048561096,-0.006429344415664673,461,49,0,0,D.Carter,NA,0,0,0,NA
2018-12-30T19:20:17Z,37.03,37.6,5.08,8.16,0.51,NA,NA,punt_received,NA,football,NA,NA,football,80,2018123003,1958,left,27.03,"(1:46) L.Cooke punts 53 yards to HOU 27, Center-M.Overton. D.Carter to HOU 32 for 5 yards (D.Payne; L.McCray).",2,4,15,JAX,Punt,Return,46316,42794,NA,JAX,20,01:46:00,NA,NA,NA,17,3,NA,53,5,48,90,-1.4075183009263128,-0.13688996981363744,0.0858890563249588,0.008368298411369324,106,53,0,0,D.Carter,NA,0,0,0,NA
2018-12-30T19:23:08Z,81.1,20.03,5.22,3.43,0.65,NA,NA,punt_received,NA,football,NA,NA,football,74,2018123003,2065,right,28.900000000000006,"(:56) T.Daniel punts 43 yards to JAX 29, Center-J.Weeks. D.Westbrook pushed ob at JAX 43 for 14 yards (J.Bademosi; T.Adams). PENALTY on JAX-D.Payne, Offensive Holding, 10 yards, enforced at JAX 22.",2,4,14,HOU,Punt,Return,46810,44923,NA,HOU,28,00:56:00,OH,JAX 52,10,17,3,NA,43,0,60,38,-0.3567376962164417,0.2334772745380178,0.8649197816848755,0.029249176383018494,56,43,0,0,D.Westbrook,NA,0,0,0,NA
2018-12-30T19:42:22Z,83.92,45.37,0.53,0.29,0.05,NA,NA,fair_catch,NA,football,NA,NA,football,86,2018123003,2252,right,26.08,"(13:21) L.Cooke punts 49 yards to HOU 26, Center-M.Overton, fair catch by D.Carter.",3,4,10,JAX,Punt,Fair Catch,46316,42794,NA,JAX,25,13:21:00,NA,NA,NA,17,3,NA,49,NA,49,35,-1.8860091944225132,0.20540139311924577,0.07309655845165253,0.006368771195411682,1701,49,0,1,D.Carter,NA,0,0,0,NA
2018-12-30T19:54:56Z,85.57,17.36,1.15,0.2,1.26,NA,NA,fair_catch,NA,football,NA,NA,football,81,2018123003,2679,right,24.430000000000007,"(5:53) L.Cooke punts 46 yards to HOU 24, Center-M.Overton, fair catch by D.Carter.",3,4,3,JAX,Punt,Fair Catch,46316,42794,NA,JAX,30,05:53:00,NA,NA,NA,17,3,NA,46,NA,46,40,-1.2106131510809064,-0.008977968711405993,0.07199589908123016,-0.01540212333202362,1253,46,0,1,D.Carter,NA,0,0,0,NA
2018-12-30T20:01:44Z,19.6,18.38,5.77,6.83,0.88,NA,NA,fair_catch,NA,football,NA,NA,football,73,2018123003,2867,left,9.600000000000001,"(2:12) T.Daniel punts 43 yards to JAX 9, Center-J.Weeks, fair catch by D.Westbrook.",3,4,9,HOU,Punt,Fair Catch,46810,44923,NA,HOU,48,02:12:00,NA,NA,NA,17,3,NA,43,NA,43,62,-0.20633308892138302,0.14904024312272668,0.9412217736244202,0.007431879639625549,1032,43,0,1,D.Westbrook,NA,1,0,0,NA
2018-12-30T20:10:31Z,43.72,41.06,6.69,2.9,0.6,NA,NA,fair_catch,NA,football,NA,NA,football,82,2018123003,3020,left,33.72,"(14:30) L.Cooke punts 46 yards to HOU 35, Center-M.Overton, fair catch by D.Carter.",4,4,12,JAX,Punt,Fair Catch,46316,42794,NA,JAX,19,14:30:00,NA,NA,NA,17,3,NA,46,NA,46,91,-2.2067516669631004,0.32809038273990154,0.032448574900627136,-0.0013348907232284546,870,46,0,1,D.Carter,NA,0,0,0,NA
2018-12-30T20:29:21Z,35.55,37.67,5.32,3.44,0.66,NA,NA,punt_received,NA,football,NA,NA,football,80,2018123003,3377,left,25.549999999999997,"(9:26) L.Cooke punts 50 yards to HOU 25, Center-M.Overton. D.Carter to JAX 45 for 30 yards (Q.Meeks).",4,4,20,JAX,Punt,Return,46316,42794,NA,JAX,25,09:26:00,NA,NA,NA,20,3,NA,50,30,20,85,-1.427620505914092,-1.701178036397323,0.011495116166770458,-0.007787528447806835,566,50,0,0,D.Carter,NA,0,0,0,NA
2018-12-30T20:34:49Z,99.21,44.2,1.57,0.19,0.32,NA,NA,fair_catch,NA,football,NA,NA,football,74,2018123003,3512,right,10.790000000000006,"(8:18) T.Daniel punts 31 yards to JAX 11, Center-J.Weeks, fair catch by D.Westbrook.",4,4,7,HOU,Punt,Fair Catch,46810,44923,NA,JAX,42,08:18:00,NA,NA,NA,20,3,NA,31,NA,31,68,0.30168709601275623,-0.5987102764192969,0.9921510219573975,-0.0046051498502492905,498,31,0,1,D.Westbrook,NA,1,0,0,NA
2018-12-30T21:40:58Z,97.92,9.9,3.26,9.81,0.37,NA,NA,fair_catch,NA,football,NA,NA,football,76,2018123004,465,right,12.079999999999998,"(10:04) D.Colquitt punts 28 yards to OAK 12, Center-J.Winchester, fair catch by D.Harris.",1,4,5,KC,Punt,Fair Catch,29926,37251,NA,OAK,40,10:04:00,NA,NA,NA,7,0,NA,28,NA,28,70,0.6578387597110122,-0.6203004417475313,0.7351962327957153,-0.01542741060256958,1504,28,0,1,D.Harris,15,1,0,0,NA
2018-12-30T22:46:31Z,68.17,18.66,4.82,8.84,0.53,NA,NA,punt_received,NA,football,NA,NA,football,76,2018123004,2174,right,41.83,"(:23) J.Townsend punts 48 yards to KC 40, Center-T.Sieg. T.Hill to KC 43 for 3 yards (L.Smith). PENALTY on KC-G.Dieter, Illegal Block Above the Waist, 10 yards, enforced at KC 43.",2,4,1,OAK,Punt,Return,46242,43454,NA,OAK,12,00:23:00,IBW,KC 12,10,21,3,NA,48,3,55,22,-0.20104719419032335,0.20104719419032335,0.05866765230894089,0.005442507565021515,23,48,0,0,T.Hill,15,0,0,0,NA
2018-12-30T23:08:39Z,104.23,27.12,6.09,5.65,0.64,NA,NA,punt_land,NA,football,NA,NA,football,77,2018123004,2495,right,5.769999999999996,"(10:14) J.Townsend punts 40 yards to KC 1, Center-T.Sieg, downed by OAK-D.Harris.",3,4,10,OAK,Punt,Downed,46242,NA,NA,KC,41,10:14:00,NA,NA,NA,21,3,NA,40,NA,40,69,-0.17985483421944082,0.5064944149926305,0.04638034850358963,0.0011168047785758972,1514,40,1,0,NA,15,1,0,0,NA
2018-12-30T23:24:20Z,101.71,11.98,4.26,6.95,0.47,NA,NA,fair_catch,NA,football,NA,NA,football,75,2018123004,2862,right,8.290000000000006,"(4:09) J.Townsend punts 38 yards to KC 8, Center-T.Sieg, fair catch by T.Hill.",3,4,9,OAK,Punt,Fair Catch,46242,43454,NA,KC,46,04:09:00,NA,NA,NA,28,3,NA,38,NA,38,64,-0.3709375716280192,0.1585843157954514,0.003583678975701332,-0.0026326868683099747,1149,38,0,1,T.Hill,15,1,0,0,NA
2018-12-30T23:44:13Z,17.43,48.01,8.3,5.34,1,NA,NA,punt_land,NA,football,NA,NA,football,75,2018123004,3314,left,7.43,"(10:13) J.Townsend punts 56 yards to end zone, Center-T.Sieg, Touchback.",4,4,6,OAK,Punt,Touchback,46242,NA,NA,OAK,44,10:13:00,NA,NA,NA,35,3,NA,56,NA,36,66,-0.3816195363178849,-0.4601786369457841,7.32490443624556e-5,2.5680637918412685e-6,613,NA,0,0,NA,15,0,0,0,NA
2018-12-30T21:28:34Z,81.11,11.64,1.03,5.83,0.11,NA,NA,fair_catch,NA,football,NA,NA,football,71,2018123005,120,right,28.89,"(14:29) M.Wile punts 43 yards to CHI 29, Center-K.McDermott, fair catch by T.Cohen.",1,4,7,MIN,Punt,Fair Catch,42907,44932,NA,MIN,28,14:29:00,NA,NA,NA,0,0,NA,43,NA,43,38,-0.9133093147538602,-0.4256666009314358,0.46967828273773193,0.034501612186431885,1769,43,0,1,T.Cohen,NA,0,0,0,NA
2018-12-30T21:41:21Z,79.28,28.45,2.91,1.88,0.34,NA,NA,punt_muffed,NA,football,NA,NA,football,85,2018123005,419,right,30.72,"(8:42) M.Wile punts 43 yards to CHI 31, Center-K.McDermott. T.Cohen MUFFS catch, and recovers at CHI 29. T.Cohen to CHI 29 for no gain (J.Kearse).",1,4,9,MIN,Punt,Muffed,42907,44932,NA,MIN,26,08:42:00,NA,NA,NA,0,7,NA,45,0,45,36,-0.9812716748565435,-0.09689374035224319,0.25594666600227356,0.03640154004096985,1422,45,0,0,T.Cohen,NA,0,0,0,NA
